name,hidden_dim,hidden_layers,lr,beta,epochs,mse,mae,final_loss
baseline,32,2,0.001,1.0,500,2300.813948054607,36.772465004025825,12828.666015625
larger_hidden_dim,64,2,0.001,1.0,500,1345.8068359236343,26.538644351268907,8211.515625
lower_lr,32,2,0.0005,1.0,500,2802.5204863785357,40.8394681459925,15000.7421875
higher_pde_weight,32,2,0.001,10.0,500,2303.8836779158673,37.072478995344525,12870.6494140625
